Gene,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Product,Note
ybfI,196,192,200,182,223,209,167,199,160,191,242834,243661,-,chr,BSU02220,AraC family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
purT,2478,2298,3606,3832,2752,3753,2859,3852,3529,3854,243892,245046,+,chr,BSU02230,phosphoribosylglycinamide formyltransferase 2,"non-folate utilizing enzyme, catalyzes the production of beta-formyl glycinamide ribonucleotide from formate, ATP, and beta-GAR and a side reaction producing acetyl phosphate and ADP from acetate and ATP; involved in de novo purine biosynthesis"
mpr,446,591,2969,3680,1572,2150,2176,3633,1585,1607,245190,246131,+,chr,BSU02240,extracellular metalloprotease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15205417, 15375126; Product type e: enzyme"
ybfJ,123,123,814,733,443,441,613,819,325,350,246094,246492,+,chr,BSU02250,lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type lp: lipoprotein"
ybfK,602,608,573,690,500,651,508,790,615,656,246658,247548,+,chr,BSU02260,carboxylesterase NP,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11389736; Product type e: enzyme
pssA,1829,2111,1322,1287,1401,1435,1155,1716,1399,1563,247744,248277,+,chr,BSU02270,phosphatidylserine synthase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12682299, 14762009, 15743965, 15849754, 16850406; Product type e: enzyme"
ybfM,1546,2427,1077,1708,1165,2104,959,2189,1881,2241,248268,248756,+,chr,BSU02280,membrane phosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12682299, 14762009, 15849754, 16850406; Product type pe:  enzyme"
psd,2938,2602,1926,1931,2235,2298,1855,2244,2305,2389,248749,249540,+,chr,BSU02290,phosphatidylserine decarboxylase,catalyzes the decarboxylation of phosphatidyl-L-serine to phosphatidylethanoleamine
ybfN,142,203,131,141,105,183,106,158,191,204,249595,249873,+,chr,BSU02300,hypothetical protein,Evidence 5: No homology to any previously reported sequences
ybfO,426,508,195,273,241,339,202,341,289,346,249979,251319,+,chr,BSU02310,exported hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
ybfP,196,278,104,204,114,240,87,224,177,222,251427,252314,+,chr,BSU02320,AraC family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
ybfQ,2650,3022,2772,3149,2157,3239,2109,3122,3119,3170,252514,253482,+,chr,BSU02330,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10939241; Product type pe :  enzyme"
gltP,235,124,187,110,129,115,170,129,90,109,253518,254762,-,chr,BSU02340,proton/glutamate symport protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16850406, 7751298; Product type t: transporter"
nagP,1744,1071,1248,678,1690,1199,1400,1118,872,1166,254907,256802,-,chr,BSU02350,phosphotransferase system (PTS) glucosamine-specific enzyme IICBA component,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10627040, 15849754, 16850406; Product type t : transporter"
nagBB,941,905,755,629,998,1069,785,840,730,1077,256823,257572,-,chr,BSU02360,glucosamine-6-phosphate isomerase,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme
ybgA,394,624,257,425,240,526,249,571,468,542,257791,258498,+,chr,BSU02370,GntR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
ybgB,94,20,79,60,55,39,69,50,23,43,258532,258807,+,chr,BSU02380,hypothetical protein,Evidence 5: No homology to any previously reported sequences; PubMedId: 12897008
ybgE,204,229,30622,34735,3013,4063,11494,19711,1647,1592,259016,260086,+,chr,BSU02390,branched-chain amino acid aminotransferase,catalyzes the transamination of the branched-chain amino acids to their respective alpha-keto acids
ybgF,1056,726,5964,4457,3084,2401,4919,4324,1560,1510,260123,261535,-,chr,BSU02400,aminoacid permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406, 7704263; Product type pt:  transporter"
mmuM,507,326,1207,745,1033,847,1064,987,677,664,261656,262603,-,chr,BSU02410,homocysteine methyltransferase,converts homocysteine and S-adenosyl-methionine to methionine and S-adenosyl-homocysteine or S-methyl-methionine and homocysteine to two methionines
glnT,38,20,103,52,72,36,67,48,31,19,262732,264168,-,chr,BSU02420,glutamine transporter,"Evidence 2b: Function of strongly homologous gene; PubMedId: 15849754, 15995196, 16850406; Product type t: transporter"
ybgJ,18,10,27,19,31,17,19,7,5,9,264191,265174,-,chr,BSU02430,glutaminase,catalyzes the formation of glutamate from glutamine
glnJ,332,417,266,328,290,388,255,393,373,434,265476,266708,+,chr,BSU02440,two-component sensor histidine kinase GlnL for glutamine degradation,"Evidence 2b: Function of strongly homologous gene; PubMedId: 11717295, 15995196; Product type rc : receptor"
glnL,318,299,234,220,265,249,238,295,292,292,266719,267663,+,chr,BSU02450,two-component response regulator GlnJ for glutamine utilisation,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 15995196; Product type r: regulator"
ycbC,47,27,49,38,55,53,40,68,33,46,267890,268816,+,chr,BSU02460,5-dehydro-4-deoxyglucarate dehydratase,"catalyzes the formation of 2,5-dioxopentanoate from 5-dehydro-4-deoxy-D-glucarate"
ycbD,52,61,80,80,90,83,78,100,79,65,268846,270312,+,chr,BSU02470,"2,5-dioxovalerate dehydrogenase","Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12044674, 17202142; Product type e: enzyme"
gudP,100,32,114,39,100,45,89,58,37,43,270396,271763,+,chr,BSU02480,glucarate transporter,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12044674, 15849754, 16850406; Product type t: transporter"
gudD,40,19,63,32,58,51,58,83,17,36,271800,273167,+,chr,BSU02490,glucarate dehydratase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12044674; Product type e: enzyme
ycbG,632,600,424,457,450,588,439,613,492,626,273237,273938,+,chr,BSU02500,GntR family transcriptional regulator,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12044674; Product type r: regulator
garD,136,56,82,54,91,82,82,94,62,85,274029,275561,+,chr,BSU02510,D-galactarate dehydratase,Evidence 2b: Function of strongly homologous gene; PubMedId: 9772162; Product type e: enzyme
ycbJ,943,924,480,654,587,758,508,766,766,735,275838,276758,+,chr,BSU02520,phosphotransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12044674; Product type pe :  enzyme"
rtpA,77,204,39,101,33,141,48,192,133,187,277160,277321,+,chr,BSU02530,anti-TRAP regulator,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10706627, 11557884, 12855807, 15099736, 15213402, 15743934, 16306262; Product type r: regulator"
ycbK,338,152,195,86,235,155,205,175,142,159,277342,278280,+,chr,BSU02540,efflux transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10706627, 15063849, 15849754, 16850406, 16879415, 17114263; Product type pt : transporter"
ycbL,133,139,94,92,100,120,90,110,104,133,278377,279057,+,chr,BSU02550,two-component response regulator YcbM,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295; Product type r: regulator
ycbM,216,185,153,155,177,156,121,198,166,245,279059,279994,+,chr,BSU02560,two-component sensor histidine kinase YcbL,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295; Product type rc: receptor
ycbN,426,562,282,392,293,456,266,518,412,478,280086,281009,+,chr,BSU02570,ABC transporter ATP-binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12486040; Product type pt : transporter"
ycbO,359,276,226,168,257,192,252,237,194,211,281028,281714,+,chr,BSU02580,Na+-driven exporter or maturation protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycbP,73,58,110,41,97,74,88,41,43,112,281769,282155,-,chr,BSU02590,inner integral membrane protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
cwlJ,37,36,31,16,39,27,28,19,20,28,282469,282897,+,chr,BSU02600,cell wall hydrolase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11466292, 11807087, 12177332, 16936016, 9515903; Product type e: enzyme"
ycbR,170,194,125,142,117,178,116,171,163,198,283003,283734,+,chr,BSU02610,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yczK,4,6,5,1,2,11,2,7,7,8,283816,283992,+,chr,BSU02619,hypothetical protein,Evidence 6: Doubtful CDS
phoD,72,66,57,37,73,54,58,52,35,50,284011,285762,+,chr,BSU02620,phosphodiesterase/alkaline phosphatase D,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11719524, 12867413, 16698798; Product type e: enzyme"
tatAD,9,5,10,4,10,12,8,10,11,2,285775,285987,+,chr,BSU02630,twin-arginine pre-protein translocation pathway protein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12867413, 15554971, 16678787, 19049517; Product type t: transporter"
tatCD,160,140,100,99,119,108,95,129,127,113,286048,286776,+,chr,BSU02640,twin-arginine pre-protein translocation pathway protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16698798, 19049517; Product type t: transporter"
pcp,200,211,129,158,179,144,143,186,178,164,286773,287420,-,chr,BSU02650,pyrrolidone-carboxylate peptidase,catalyzes the removal of 5-oxoproline from various penultimate amino acid residues except L-proline
ycbU,379,314,230,266,245,338,194,334,303,286,287499,288611,+,chr,BSU02660,cysteine desulfurase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
lmrB,2459,1700,1658,948,2206,1509,1671,1257,1325,1512,288653,290092,-,chr,BSU02670,efflux transporter; drug-export protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15317768, 15849754, 16850406; Product type t: transporter"
lmrA,941,818,626,504,731,713,655,615,670,743,290132,290698,-,chr,BSU02680,transcriptional repressor of lmrAB and yxaGH operons,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12718394, 15317768, 17483215; Product type r: regulator"
ansZ,103,81,78,63,71,69,59,99,91,96,290915,292042,+,chr,BSU02690,L-asparaginase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11914346, 17686772; Product type e: enzyme"
estA,1045,1577,774,1572,667,1402,696,1953,1293,1427,292205,292843,+,chr,BSU02700,secreted alkaliphilic lipase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15812018, 18053819, 11029590, 8396026; Product type e: enzyme"
yczC,310,193,221,137,220,142,214,197,164,180,292881,293264,-,chr,BSU02710,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
yccF,3132,3745,1973,2525,2290,3726,2071,3470,3910,4015,293499,294575,+,chr,BSU02720,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
natK,403,367,312,308,304,346,251,378,383,360,294615,295571,-,chr,BSU02730,two-component sensor histidine kinase NatR,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 17322186; Product type rc: receptor"
natR,304,307,255,294,236,327,241,337,270,313,295584,296285,-,chr,BSU02740,two-component response regulator NatK,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 17322186; Product type r: regulator"
natA,200,221,130,131,125,182,125,194,177,205,296429,297169,+,chr,BSU02750,Na+ ABC efflux transporter ATP-binding protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10356997, 17322186; Product type t: transporter"
natB,292,217,188,113,206,148,188,178,151,174,297170,298330,+,chr,BSU02760,Na+ ABC efflux transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10356997, 15849754, 16850406, 17322186; Product type t: transporter"
yccK,526,606,369,474,315,479,357,596,505,634,298466,299398,+,chr,BSU02770,ion channel associated enzyme,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17322186; Product type pe :  enzyme"
ycdA,4746,6582,7962,11146,5160,9315,7085,12418,6762,8572,299438,300502,-,chr,BSU02780,lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type lp: lipoprotein"
ycdB,554,563,390,378,422,554,415,614,489,569,300830,302248,+,chr,BSU02790,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
ycdC,630,668,523,560,467,691,533,781,600,812,302435,303796,+,chr,BSU02800,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
cwlK,277,243,270,261,226,358,245,317,214,384,303804,304307,-,chr,BSU02810,"murein L,D:-endopeptidase",Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17588176; Product type e: enzyme
rapJ,1502,2072,1275,2008,1047,2169,1272,2285,1826,1940,304430,305551,+,chr,BSU02820,response regulator aspartate phosphatase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16816200; Product type e: enzyme
ycdF,69,53,69,36,66,73,55,58,48,103,305658,306434,+,chr,BSU02830,dehydrogenase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10220166, 11948145; Product type pe: enzyme"
ycdG,184,130,231,103,196,173,227,144,130,221,306459,308144,+,chr,BSU02840,glycosidase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11544224; Product type pe :  enzyme"
adcA,2943,5851,44675,4643,1846,5979,50687,57817,5508,91952,308332,309291,+,chr,BSU02850,Zn(II)-binding lipoprotein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12426338, 14730579, 9379902; Product type lp : lipoprotein"
adcC,820,944,2269,684,499,996,2977,3706,868,6324,309347,310042,+,chr,BSU02860,Zn(II) transporter ATP-binding protein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 9379902, 9811636; Product type t : transporter"
adcB,732,367,1976,278,521,343,2591,1039,347,2180,310000,310842,+,chr,BSU02870,high affinity Zn(II) ABC transporter permease,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15849754, 16850406, 9379902, 9811636; Product type t: transporter"
yceB,322,186,220,166,340,198,209,184,160,128,310880,311875,-,chr,BSU02880,monooxygenase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16428414; Product type pe :  enzyme"
yceC,5442,6444,3490,4958,3676,5698,3056,5748,5102,6802,312159,312758,+,chr,BSU02890,stress adaptation protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
yceD,6725,6005,4272,4917,4749,5319,3790,5712,5169,6352,312780,313361,+,chr,BSU02900,stress adaptation protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
yceE,6050,5016,4016,4010,4297,4573,3717,4267,3964,4705,313396,313974,+,chr,BSU02910,stress adaptation protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
yceF,8285,5732,5704,4585,5936,5085,4882,5216,4587,5290,314025,314798,+,chr,BSU02920,stress adaptation transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yceG,4348,4830,3259,4318,3263,4293,2763,4680,3607,4775,314883,316496,+,chr,BSU02930,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yceH,3376,4273,2819,3693,2674,3815,2391,4242,3431,3998,316512,317603,+,chr,BSU02940,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yceI,6093,3954,4190,2616,5228,3386,3919,3222,3086,3133,317725,318927,+,chr,BSU02950,transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yceJ,336,334,278,211,333,304,288,257,266,276,319180,320352,-,chr,BSU02960,efflux transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yceK,509,1763,470,1576,327,1948,484,2026,1700,1435,320421,320723,-,chr,BSU02970,ArsR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
opuAA,6830,8654,6393,10162,4921,7412,5103,8594,5988,5937,321013,322269,+,chr,BSU02980,glycine/betaine ABC transporter ATP-binding protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16225868, 16645306, 7622480; Product type t: transporter"
opuAB,6050,3727,5739,4343,4719,3444,4520,3587,2549,2600,322271,323119,+,chr,BSU02990,glycine betaine ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16225868, 16645306, 16850406, 8752321; Product type t : transporter"
opuAC,6626,5853,6208,6313,4975,4965,4986,6505,4620,4485,323119,324000,+,chr,BSU03000,glycine betaine ABC transporter glycine betaine-binding lipoprotein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16225868, 16645306, 7622480; Product type lp: lipoprotein"
amhX,157,103,13134,9153,768,668,4527,3964,263,239,324038,325189,-,chr,BSU03010,amidohydrolase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 8768514; Product type e : enzyme
ycgA,370,243,4671,3291,485,366,1561,1429,307,306,325339,326772,+,chr,BSU03020,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
ycgB,171,200,392,425,169,256,214,351,155,220,326888,327469,+,chr,BSU03030,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
amyE,496,743,905,1062,504,670,509,881,665,649,327618,329597,+,chr,BSU03040,alpha-amylase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 3117969, 9353930; Product type e: enzyme"
ldh,943,275,254,166,699,443,384,283,372,652,329774,330739,+,chr,BSU03050,L-lactate dehydrogenase,Converts (S)-lactate and NAD(+) to pyruvate and NADH
lctP,2147,339,603,170,1878,584,1117,332,415,774,330771,332396,+,chr,BSU03060,L-lactate permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10809684, 15849754, 16428414, 16850406; Product type t: transporter"
mdr,2723,1858,2116,1462,2377,1911,2359,1967,1792,1871,332441,333979,-,chr,BSU03070,multidrug-efflux transporter,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15489457, 15849754, 16850406, 9023234; Product type t: transporter"
ycgE,315,337,277,276,252,358,227,439,343,315,334092,334556,+,chr,BSU03080,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
ycgF,390,245,339,267,321,358,357,324,289,283,334630,335259,+,chr,BSU03090,aminoacid export permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycgG,426,406,357,407,385,450,341,459,424,401,335329,336090,+,chr,BSU03100,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
ycgH,74,35,51,39,65,70,59,52,61,57,336092,337432,-,chr,BSU03110,amino acid transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycgI,15,24,10,4,14,7,5,7,16,13,337562,338158,+,chr,BSU03120,methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16433904; Product type pe :  enzyme"
nadE,3528,4116,2870,3608,2528,4197,2673,4048,3900,4291,338288,339106,+,chr,BSU03130,NAD synthetase,catalyzes the formation of nicotinamide adenine dinucleotide (NAD) from nicotinic acid adenine dinucleotide (NAAD) using either ammonia or glutamine as the amide donor and ATP; ammonia-utilizing enzymes include the ones from Bacillus and Escherichia coli while glutamine-utilizing enzymes include the Mycobacterial one; forms homodimers
tmrB,176,186,153,174,140,155,138,197,174,162,339156,339749,-,chr,BSU03140,ATP-binding tunicamycin resistance protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15131133, 1624425, 7766032; Product type f: factor"
aroK,772,1720,611,1350,627,1725,656,1834,1590,1747,340025,340585,+,chr,BSU03150,shikimate kinase,catalyzes the formation of shikimate 3-phosphate from shikimate in aromatic amino acid biosynthesis
ycgJ,126,81,96,49,93,70,104,90,86,80,340613,341374,-,chr,BSU03160,methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
ycgK,355,373,319,350,309,386,315,545,377,428,341492,342466,+,chr,BSU03170,LysR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10939241; Product type pr : regulator"
cah,599,424,688,542,575,557,690,734,497,580,342538,343494,+,chr,BSU03180,S-deacylase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12842474; Product type e: enzyme
ycgL,355,422,393,567,384,532,369,771,515,588,343578,344360,+,chr,BSU03190,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
ycgM,3155,3420,31503,42195,13264,16893,23341,37445,9243,11016,344551,345462,+,chr,BSU03200,proline oxidase,"Evidence 1b: Function experimentally demonstrated in the studied species; PubMedId: 17536821, 2118500; Product type e: enzyme"
ycgN,7023,8492,64814,85248,26876,34986,49371,75558,20817,22749,345479,347026,+,chr,BSU03210,1-pyrroline-5-carboxylate dehydrogenase,catalyzes the conversion of 1-proline-5-carboxylate dehydrogenase to L-glutamate
ycgO,7577,6005,43407,33962,18786,14802,33207,31513,8951,9978,347150,348571,+,chr,BSU03220,proline/ornithine permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 14976255, 15849754, 16850406; Product type pt:  transporter"
ycgP,666,1162,1532,2644,958,1743,1253,3064,1234,1720,348724,349959,+,chr,BSU03230,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
ycgQ,661,805,495,471,501,641,488,556,626,817,349996,350853,-,chr,BSU03240,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
ycgR,683,486,414,317,506,387,477,401,374,526,350858,351742,-,chr,BSU03250,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ycgS,191,190,219,200,160,220,212,221,186,219,351842,352696,-,chr,BSU03260,aromatic hydrocarbon hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
ycgT,231,132,82,58,78,72,99,105,88,135,352858,353868,+,chr,BSU03270,thioredoxin reductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16672620; Product type pe :  enzyme"
nasF,1639,1350,1519,1143,1467,1369,1457,1426,1275,1421,353900,355351,-,chr,BSU03280,uroporphyrin-III C-methyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10217486, 15028686, 9765565; Product type e: enzyme"
nasE,524,494,479,435,484,446,517,455,465,569,355412,355732,-,chr,BSU03290,assimilatory nitrite reductase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10217486, 15028686, 9765565; Product type e: enzyme"
nasD,179,115,197,116,291,162,214,170,143,192,355764,358181,-,chr,BSU03300,assimilatory nitrite reductase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10972836, 15028686, 9765565; Product type e: enzyme"
nasC,84,56,59,35,110,60,89,51,62,76,358303,360435,-,chr,BSU03310,assimilatory nitrate reductase catalytic subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10972836, 15028686, 9765565; Product type e: enzyme"
nasB,172,93,117,58,153,87,153,88,90,121,360442,362757,-,chr,BSU03320,assimilatory nitrate reductase electron transfer subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10940050, 10972836, 15028686, 7836289, 9765565; Product type e: enzyme"
nasA,260,144,168,66,173,89,239,90,110,126,362937,364142,+,chr,BSU03330,nitrate transporter,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16850406, 7868621; Product type t: transporter"
yciA,111,82,1842,53,25,92,3659,869,70,3779,364259,365173,+,chr,BSU03340,GTP cyclohydrolase,"similar protein in Methanocaldococcus converts GTP to 7,8-dihydro-D-neopterin 2',3'-cyclic phosphate as the first step in methanopterin biosynthesis"
yciB,42,41,1094,34,11,33,2652,547,36,3914,365170,365754,+,chr,BSU03350,metal uptake system lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12426338; Product type pt : transporter"
yczL,146,142,2837,105,4,137,8201,1316,148,9463,365850,366035,+,chr,BSU03359,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yciC,1988,915,17772,674,60,1004,60035,5582,1087,41482,366063,367256,+,chr,BSU03360,metallochaperone with NTPase activity,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12426338, 18344368, 2013568, 9811636; Product type pt:  transporter"
yckA,841,404,616,248,316,314,1174,393,262,923,367305,367985,-,chr,BSU03370,ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yckB,1194,1026,673,538,469,659,787,632,677,772,367995,368858,-,chr,BSU03380,ABC transporter binding lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
yckC,298,228,206,223,145,255,208,240,243,238,369236,369691,+,chr,BSU03390,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
yckD,14,6,17,27,11,19,8,23,8,25,369773,370105,+,chr,BSU03400,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
bglC,257,230,137,194,155,173,115,181,170,167,370259,371692,+,chr,BSU03410,aryl-phospho-beta-d-glucosidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14652714, 18069788; Product type e: enzyme"
nin,232,333,191,269,184,348,114,318,332,340,371729,372127,-,chr,BSU03420,inhibitor of the DNA degrading activity of NucA (competence),"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11359569, 11814663; Product type r: regulator"
nucA,389,515,351,524,327,617,201,496,470,512,372154,372597,-,chr,BSU03430,endonuclease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11359569, 11814663, 2841296, 7746143; Product type e: enzyme"
